--- Análisis de la IA para la ruleta ---

Jugadas totales: 100000

Historial de jugadas (últimas 1000):
Paso: 99001, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12441.00
Paso: 99002, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12440.00
Paso: 99003, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12434.50
Paso: 99004, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12426.00
Paso: 99005, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12417.50
Paso: 99006, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12413.50
Paso: 99007, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12414.00
Paso: 99008, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12413.00
Paso: 99009, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12412.00
Paso: 99010, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12417.00
Paso: 99011, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12420.00
Paso: 99012, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12425.00
Paso: 99013, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12427.00
Paso: 99014, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12429.00
Paso: 99015, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12434.00
Paso: 99016, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12431.50
Paso: 99017, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12436.50
Paso: 99018, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12438.50
Paso: 99019, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12440.50
Paso: 99020, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12439.50
Paso: 99021, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12441.50
Paso: 99022, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12434.50
Paso: 99023, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12433.50
Paso: 99024, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12435.50
Paso: 99025, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12437.50
Paso: 99026, Acción (apuesta): 4, Recompensa: 2.00, Saldo: -12433.50
Paso: 99027, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12435.50
Paso: 99028, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12437.50
Paso: 99029, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12436.50
Paso: 99030, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12435.50
Paso: 99031, Acción (apuesta): 5, Recompensa: 2.00, Saldo: -12433.50
Paso: 99032, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12435.50
Paso: 99033, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12437.50
Paso: 99034, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12442.50
Paso: 99035, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12443.00
Paso: 99036, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12442.00
Paso: 99037, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12438.00
Paso: 99038, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12439.00
Paso: 99039, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12442.00
Paso: 99040, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12441.00
Paso: 99041, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12440.00
